Calculation1;Net Income (US $M);Quarter;Revenue (US $M);Calculation2;Net Income (US $M) - Split 2;Number of Records;Revenue (US $M) - Split 2
2019;$3,268;31.12.2019;$87,437;0,037375482;3268;1;87437
2019;$2,134;30.09.2019;$69,981;0,030493991;2134;1;69981
2019;$2,625;30.06.2019;$63,404;0,041401173;2625;1;63404
2019;$3,561;31.03.2019;$59,700;0,059648241;3561;1;59700
2018;$3,027;31.12.2018;$72,383;0,041819212;3027;1;72383
2018;$2,883;30.09.2018;$56,576;0,050958003;2883;1;56576
2018;$2,534;30.06.2018;$52,886;0,047914382;2534;1;52886
2018;$1,629;31.03.2018;$51,042;0,031914894;1629;1;51042
2017;$1,856;31.12.2017;$60,453;0,030701537;1856;1;60453
2017;$256;30.09.2017;$43,744;0,005852231;256;1;43744
2017;$197;30.06.2017;$37,955;0,005190357;197;1;37955
2017;$724;31.03.2017;$35,714;0,020272162;724;1;35714
2016;$749;31.12.2016;$43,741;0,017123523;749;1;43741
2016;$252;30.09.2016;$32,714;0,007703124;252;1;32714
2016;$857;30.06.2016;$30,404;0,028187081;857;1;30404
2016;$513;31.03.2016;$29,128;0,01761192;513;1;29128
2015;$482;31.12.2015;$35,746;0,013484026;482;1;35746
2015;$79;30.09.2015;$25,358;0,003115388;79;1;25358
2015;$92;30.06.2015;$23,185;0,003968083;92;1;23185
2015;$-57;31.03.2015;$22,717;-0,002509134;-57;1;22717
2014;$214;31.12.2014;$29,328;0,007296781;214;1;29328
2014;$-437;30.09.2014;$20,579;-0,02123524;-437;1;20579
2014;$-126;30.06.2014;$19,340;-0,006514995;-126;1;19340
2014;$108;31.03.2014;$19,741;0,005470847;108;1;19741
2013;$240;31.12.2013;$25,586;0,00938013;240;1;25586
2013;$-41;30.09.2013;$17,092;-0,002398783;-41;1;17092
2013;$-7;30.06.2013;$15,704;-0,000445746;-7;1;15704
2013;$82;31.03.2013;$16,070;0,005102676;82;1;16070
2012;$98;31.12.2012;$21,268;0,004607862;98;1;21268
2012;$-274;30.09.2012;$13,806;-0,019846444;-274;1;13806
2012;$7;30.06.2012;$12,834;0,000545426;7;1;12834
2012;$130;31.03.2012;$13,185;0,009859689;130;1;13185
2011;$176;31.12.2011;$17,431;0,010096954;176;1;17431
2011;$63;30.09.2011;$10,876;0,005792571;63;1;10876
2011;$191;30.06.2011;$9,913;0,019267628;191;1;9913
2011;$201;31.03.2011;$9,857;0,0203916;201;1;9857
2010;$415;31.12.2010;$12,947;0,032053758;415;1;12947
2010;$231;30.09.2010;$7,560;0,030555556;231;1;7560
2010;$207;30.06.2010;$6,566;0,031526043;207;1;6566
2010;$299;31.03.2010;$7,131;0,041929603;299;1;7131
2009;$384;31.12.2009;$9,520;0,040336134;384;1;9520
2009;$199;30.09.2009;$5,449;0,036520462;199;1;5449
2009;$142;30.06.2009;$4,651;0,030531069;142;1;4651
2009;$177;31.03.2009;$4,889;0,036203723;177;1;4889
2008;$226;31.12.2008;$6,704;0,033711217;226;1;6704
2008;$118;30.09.2008;$4,264;0,027673546;118;1;4264
2008;$158;30.06.2008;$4,063;0,038887522;158;1;4063
2008;$143;31.03.2008;$4,135;0,03458283;143;1;4135
2007;$207;31.12.2007;$5,672;0,036495063;207;1;5672
2007;$80;30.09.2007;$3,262;0,024524831;80;1;3262
2007;$78;30.06.2007;$2,886;0,027027027;78;1;2886
2007;$111;31.03.2007;$3,015;0,03681592;111;1;3015
2006;$98;31.12.2006;$3,986;0,024586051;98;1;3986
2006;$19;30.09.2006;$2,307;0,008235804;19;1;2307
2006;$22;30.06.2006;$2,139;0,01028518;22;1;2139
2006;$51;31.03.2006;$2,279;0,022378236;51;1;2279
2005;$199;31.12.2005;$2,977;0,066845818;199;1;2977
2005;$30;30.09.2005;$1,858;0,016146394;30;1;1858
2005;$52;30.06.2005;$1,753;0,029663434;52;1;1753
2005;$78;31.03.2005;$1,902;0,041009464;78;1;1902
